         4930424 function calls (4927563 primitive calls) in 11.058 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      118    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
     4970    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      236    0.000    0.000    0.001    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
     2136    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.001    0.001 argparse.py:1634(__init__)
      243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      263    0.001    0.000    0.001    0.000 {method 'start' of 'PySide2.QtCore.QTimer' objects}
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        1    0.000    0.000    0.001    0.001 hashlib.py:54(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
    11501    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
       14    0.000    0.000    0.001    0.000 zmq_client.py:200(_alias_set)
       29    0.000    0.000    0.001    0.000 error.py:26(__init__)
     2031    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 mapping.py:40(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
      536    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      106    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.001    0.001 constants.py:1(<module>)
      233    0.001    0.000    0.001    0.000 {method 'stop' of 'PySide2.QtCore.QTimer' objects}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:961(set_data)
      991    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
